Episodes, Test_Sample_Rate, Total_Avg_Rate
29000,76.0,70.75
29100,74.0,70.76
29200,75.0,70.77
29300,68.0,70.76
29400,60.0,70.73
29500,71.0,70.73
29600,76.0,70.75
29700,81.0,70.78
29800,73.0,70.79
29900,69.0,70.78
30000,79.0,70.81
30100,66.0,70.79
30200,83.0,70.83
30300,59.0,70.8
30400,76.0,70.81
30500,74.0,70.82
30600,75.0,70.84
30700,63.0,70.81
30800,72.0,70.81
30900,68.0,70.81
31000,75.0,70.82
31100,67.0,70.81
31200,73.0,70.81
31300,73.0,70.82
31400,81.0,70.85
31500,70.0,70.85
31600,72.0,70.85
31700,73.0,70.86
31800,68.0,70.85
31900,70.0,70.85
32000,76.0,70.87
32100,82.0,70.9
32200,72.0,70.9
32300,73.0,70.91
32400,74.0,70.92
32500,79.0,70.94
32600,77.0,70.96
32700,71.0,70.96
32800,73.0,70.97
32900,82.0,71.0
33000,75.0,71.02
33100,72.0,71.02
33200,66.0,71.0
33300,71.0,71.0
33400,74.0,71.01
33500,75.0,71.02
33600,74.0,71.03
33700,74.0,71.04
33800,74.0,71.05
33900,77.0,71.07
34000,76.0,71.08
34100,79.0,71.11
34200,63.0,71.08
34300,78.0,71.1
34400,71.0,71.1
34500,76.0,71.12
34600,70.0,71.11
34700,78.0,71.13
34800,78.0,71.15
34900,38.0,71.06
35000,67.0,71.05
35100,72.0,71.05
35200,78.0,71.07
35300,78.0,71.09
35400,73.0,71.09
35500,80.0,71.12
35600,71.0,71.12
35700,72.0,71.12
35800,68.0,71.11
35900,75.0,71.12
36000,77.0,71.14
36100,79.0,71.16
36200,75.0,71.17
36300,60.0,71.14
36400,75.0,71.15
36500,70.0,71.15
36600,76.0,71.16
36700,73.0,71.17
36800,75.0,71.18
36900,78.0,71.2
37000,78.0,71.21
37100,74.0,71.22
37200,43.0,71.15
37300,80.0,71.17
37400,82.0,71.2
37500,75.0,71.21
37600,79.0,71.23
37700,80.0,71.25
37800,70.0,71.25
37900,67.0,71.24
38000,71.0,71.24
38100,72.0,71.24
38200,55.0,71.2
38300,74.0,71.2
38400,73.0,71.21
38500,68.0,71.2
38600,76.0,71.21
38700,73.0,71.22
38800,67.0,71.21
38900,76.0,71.22
39000,70.0,71.22
39100,56.0,71.18
39200,76.0,71.19
39300,75.0,71.2
39400,77.0,71.21
39500,71.0,71.21
39600,70.0,71.21
39700,77.0,71.22
39800,65.0,71.21
39900,79.0,71.23
40000,82.0,71.25
40100,78.0,71.27
40200,70.0,71.27
40300,73.0,71.27
40400,75.0,71.28
40500,80.0,71.3
40600,78.0,71.32
40700,74.0,71.33
40800,71.0,71.33
40900,73.0,71.33
41000,71.0,71.33
41100,79.0,71.35
41200,74.0,71.35
41300,56.0,71.32
41400,75.0,71.33
41500,73.0,71.33
41600,72.0,71.33
41700,77.0,71.35
41800,73.0,71.35
41900,78.0,71.37
42000,70.0,71.36
42100,67.0,71.35
42200,78.0,71.37
42300,76.0,71.38
42400,86.0,71.41
42500,45.0,71.35
42600,75.0,71.36
42700,78.0,71.37
42800,77.0,71.39
42900,77.0,71.4
43000,74.0,71.41
43100,76.0,71.42
43200,79.0,71.44
43300,76.0,71.45
43400,67.0,71.44
43500,66.0,71.42
43600,74.0,71.43
43700,74.0,71.43
43800,75.0,71.44
43900,70.0,71.44
44000,74.0,71.45
44100,73.0,71.45
44200,67.0,71.44
44300,79.0,71.46
44400,74.0,71.46
44500,62.0,71.44
44600,69.0,71.43
44700,74.0,71.44
44800,75.0,71.45
44900,72.0,71.45
45000,74.0,71.46
45100,74.0,71.46
45200,75.0,71.47
45300,70.0,71.47
45400,75.0,71.47
45500,76.0,71.48
45600,73.0,71.49
45700,66.0,71.47
45800,68.0,71.47
45900,78.0,71.48
46000,80.0,71.5
46100,78.0,71.51
46200,76.0,71.52
46300,70.0,71.52
46400,79.0,71.54
46500,72.0,71.54
46600,71.0,71.54
46700,75.0,71.54
46800,73.0,71.55
46900,75.0,71.55
47000,72.0,71.56
47100,75.0,71.56
47200,76.0,71.57
47300,72.0,71.57
47400,64.0,71.56
47500,72.0,71.56
47600,73.0,71.56
47700,72.0,71.56
47800,67.0,71.55
47900,49.0,71.51
48000,52.0,71.46
48100,78.0,71.48
48200,64.0,71.46
48300,72.0,71.46
48400,70.0,71.46
48500,67.0,71.45
48600,81.0,71.47
48700,64.0,71.46
48800,79.0,71.47
48900,69.0,71.47
49000,80.0,71.48
49100,74.0,71.49
49200,72.0,71.49
49300,65.0,71.48
49400,73.0,71.48
49500,71.0,71.48
49600,78.0,71.49
49700,72.0,71.49
49800,73.0,71.5
49900,74.0,71.5
50000,77.0,71.51
50100,68.0,71.5
50200,69.0,71.5
50300,67.0,71.49
50400,64.0,71.48
50500,80.0,71.49
50600,75.0,71.5
50700,71.0,71.5
50800,79.0,71.51
50900,74.0,71.52
51000,74.0,71.52
51100,61.0,71.5
51200,72.0,71.5
51300,80.0,71.52
51400,70.0,71.52
51500,73.0,71.52
51600,76.0,71.53
51700,78.0,71.54
51800,76.0,71.55
51900,76.0,71.56
52000,71.0,71.56
52100,73.0,71.56
52200,78.0,71.57
52300,66.0,71.56
52400,67.0,71.55
52500,67.0,71.54
52600,71.0,71.54
52700,82.0,71.56
52800,75.0,71.57
52900,81.0,71.59
53000,78.0,71.6
53100,74.0,71.6
53200,73.0,71.61
53300,81.0,71.62
53400,76.0,71.63
53500,85.0,71.66
53600,72.0,71.66
53700,75.0,71.66
53800,68.0,71.66
53900,72.0,71.66
54000,72.0,71.66
54100,79.0,71.67
54200,76.0,71.68
54300,76.0,71.69
54400,71.0,71.69
54500,72.0,71.69
54600,73.0,71.69
54700,74.0,71.69
54800,80.0,71.71
54900,76.0,71.72
55000,80.0,71.73
55100,69.0,71.73
55200,75.0,71.73
55300,63.0,71.72
55400,82.0,71.74
55500,72.0,71.74
55600,74.0,71.74
55700,67.0,71.73
55800,69.0,71.73
55900,70.0,71.72
56000,77.0,71.73
56100,71.0,71.73
56200,69.0,71.73
56300,62.0,71.71
56400,68.0,71.7
56500,74.0,71.71
56600,53.0,71.67
56700,77.0,71.68
56800,67.0,71.68
56900,80.0,71.69
57000,74.0,71.69
57100,71.0,71.69
57200,77.0,71.7
57300,76.0,71.71
57400,76.0,71.72
57500,73.0,71.72
57600,78.0,71.73
57700,78.0,71.74
57800,78.0,71.75
57900,72.0,71.75
58000,77.0,71.76
58100,73.0,71.76
58200,71.0,71.76
58300,78.0,71.77
58400,70.0,71.77
58500,75.0,71.78
58600,73.0,71.78
58700,77.0,71.79
58800,78.0,71.8
58900,77.0,71.81
59000,75.0,71.81
59100,80.0,71.83
59200,82.0,71.84
59300,79.0,71.85
59400,71.0,71.85
59500,75.0,71.86
59600,78.0,71.87
59700,77.0,71.88
59800,72.0,71.88
59900,75.0,71.88
60000,76.0,71.89
60100,78.0,71.9
60200,73.0,71.9
60300,74.0,71.91
60400,78.0,71.92
60500,71.0,71.91
60600,71.0,71.91
60700,74.0,71.92
60800,64.0,71.9
60900,72.0,71.9
61000,76.0,71.91
61100,74.0,71.91
61200,76.0,71.92
61300,70.0,71.92
61400,76.0,71.92
61500,73.0,71.93
61600,81.0,71.94
61700,76.0,71.95
61800,77.0,71.95
61900,76.0,71.96
62000,75.0,71.97
62100,72.0,71.97
62200,75.0,71.97
62300,79.0,71.98
62400,77.0,71.99
62500,72.0,71.99
62600,78.0,72.0
62700,75.0,72.0
62800,77.0,72.01
62900,76.0,72.02
63000,85.0,72.04
63100,71.0,72.04
63200,58.0,72.02
63300,78.0,72.03
63400,71.0,72.02
63500,70.0,72.02
63600,77.0,72.03
63700,74.0,72.03
63800,75.0,72.04
63900,75.0,72.04
64000,73.0,72.04
64100,72.0,72.04
64200,71.0,72.04
64300,76.0,72.05
64400,72.0,72.05
64500,68.0,72.04
64600,75.0,72.04
64700,80.0,72.06
64800,72.0,72.06
64900,72.0,72.06
65000,77.0,72.06
65100,75.0,72.07
65200,74.0,72.07
65300,64.0,72.06
65400,75.0,72.06
65500,76.0,72.07
65600,81.0,72.08
65700,78.0,72.09
65800,77.0,72.1
65900,74.0,72.1
66000,72.0,72.1
66100,78.0,72.11
66200,75.0,72.12
66300,69.0,72.11
66400,79.0,72.12
66500,71.0,72.12
66600,71.0,72.12
66700,81.0,72.13
66800,79.0,72.14
66900,71.0,72.14
67000,66.0,72.13
67100,86.0,72.15
67200,74.0,72.15
67300,78.0,72.16
67400,82.0,72.18
67500,77.0,72.19
67600,68.0,72.18
67700,68.0,72.17
67800,81.0,72.19
67900,75.0,72.19
68000,71.0,72.19
68100,73.0,72.19
68200,73.0,72.19
68300,78.0,72.2
68400,68.0,72.19
68500,73.0,72.19
68600,72.0,72.19
68700,70.0,72.19
68800,70.0,72.19
68900,78.0,72.2
69000,65.0,72.19
69100,48.0,72.15
69200,71.0,72.15
69300,71.0,72.15
69400,74.0,72.15
69500,80.0,72.16
69600,72.0,72.16
69700,79.0,72.17
69800,74.0,72.17
69900,71.0,72.17
70000,66.0,72.16
70100,69.0,72.16
70200,66.0,72.15
