Episodes, Test_Sample_Rate, Total_Avg_Rate
29000,79.0,69.68
29100,76.0,69.7
29200,81.0,69.74
29300,79.0,69.77
29400,80.0,69.81
29500,72.0,69.82
29600,75.0,69.83
29700,68.0,69.83
29800,69.0,69.83
29900,76.0,69.85
30000,77.0,69.87
30100,67.0,69.86
30200,77.0,69.88
30300,73.0,69.89
30400,74.0,69.91
30500,79.0,69.94
30600,76.0,69.96
30700,82.0,70.0
30800,74.0,70.01
30900,77.0,70.03
31000,73.0,70.04
31100,80.0,70.07
31200,75.0,70.09
31300,74.0,70.1
31400,72.0,70.11
31500,70.0,70.11
31600,58.0,70.07
31700,72.0,70.08
31800,71.0,70.08
31900,78.0,70.1
32000,76.0,70.12
32100,75.0,70.14
32200,77.0,70.16
32300,71.0,70.16
32400,73.0,70.17
32500,74.0,70.18
32600,72.0,70.19
32700,69.0,70.18
32800,83.0,70.22
32900,80.0,70.25
33000,77.0,70.27
33100,80.0,70.3
33200,76.0,70.32
33300,78.0,70.34
33400,73.0,70.35
33500,69.0,70.35
33600,65.0,70.33
33700,79.0,70.36
33800,81.0,70.39
33900,77.0,70.41
34000,74.0,70.42
34100,85.0,70.46
34200,64.0,70.44
34300,75.0,70.45
34400,81.0,70.49
34500,79.0,70.51
34600,78.0,70.53
34700,80.0,70.56
34800,76.0,70.57
34900,77.0,70.59
35000,71.0,70.59
35100,77.0,70.61
35200,68.0,70.61
35300,72.0,70.61
35400,63.0,70.59
35500,70.0,70.59
35600,69.0,70.58
35700,78.0,70.6
35800,80.0,70.63
35900,74.0,70.64
36000,77.0,70.66
36100,74.0,70.66
36200,70.0,70.66
36300,76.0,70.68
36400,76.0,70.69
36500,74.0,70.7
36600,76.0,70.72
36700,73.0,70.72
36800,70.0,70.72
36900,76.0,70.73
37000,71.0,70.74
37100,72.0,70.74
37200,76.0,70.75
37300,71.0,70.75
37400,66.0,70.74
37500,75.0,70.75
37600,85.0,70.79
37700,62.0,70.77
37800,69.0,70.76
