Episodes, Test_Sample_Rate, Total_Avg_Rate
29000,70.0,63.49
29100,72.0,63.52
29200,75.0,63.56
29300,73.0,63.59
29400,69.0,63.61
29500,68.0,63.62
29600,75.0,63.66
29700,80.0,63.72
29800,75.0,63.76
29900,67.0,63.77
30000,78.0,63.81
30100,59.0,63.8
30200,76.0,63.84
30300,73.0,63.87
30400,72.0,63.89
30500,81.0,63.95
30600,70.0,63.97
30700,67.0,63.98
30800,73.0,64.01
30900,75.0,64.05
31000,73.0,64.07
31100,84.0,64.14
31200,50.0,64.09
31300,71.0,64.12
31400,82.0,64.17
31500,74.0,64.2
31600,73.0,64.23
31700,69.0,64.25
31800,80.0,64.3
31900,79.0,64.34
32000,64.0,64.34
32100,74.0,64.37
32200,76.0,64.41
32300,72.0,64.43
32400,72.0,64.45
32500,80.0,64.5
32600,77.0,64.54
32700,74.0,64.57
32800,74.0,64.6
32900,76.0,64.63
33000,76.0,64.67
33100,76.0,64.7
33200,74.0,64.73
33300,75.0,64.76
33400,77.0,64.8
33500,79.0,64.84
33600,65.0,64.84
33700,78.0,64.88
33800,79.0,64.92
33900,79.0,64.96
34000,73.0,64.99
34100,76.0,65.02
34200,77.0,65.05
34300,75.0,65.08
34400,56.0,65.06
34500,73.0,65.08
34600,80.0,65.12
34700,74.0,65.15
34800,80.0,65.19
34900,79.0,65.23
35000,74.0,65.25
35100,80.0,65.3
35200,68.0,65.3
35300,77.0,65.34
35400,75.0,65.36
35500,68.0,65.37
35600,74.0,65.4
35700,80.0,65.44
35800,76.0,65.47
35900,77.0,65.5
36000,78.0,65.53
36100,73.0,65.55
36200,78.0,65.59
36300,74.0,65.61
36400,79.0,65.65
36500,71.0,65.66
36600,68.0,65.67
36700,71.0,65.68
36800,77.0,65.71
36900,71.0,65.73
37000,75.0,65.75
37100,70.0,65.77
37200,66.0,65.77
37300,67.0,65.77
37400,79.0,65.8
37500,72.0,65.82
37600,73.0,65.84
37700,75.0,65.86
37800,76.0,65.89
37900,80.0,65.93
38000,47.0,65.88
38100,77.0,65.91
38200,79.0,65.94
38300,76.0,65.97
38400,78.0,66.0
38500,75.0,66.02
38600,78.0,66.05
38700,81.0,66.09
38800,78.0,66.12
38900,65.0,66.12
39000,74.0,66.14
39100,69.0,66.15
39200,74.0,66.17
39300,80.0,66.2
39400,73.0,66.22
39500,66.0,66.22
39600,76.0,66.24
39700,81.0,66.28
39800,72.0,66.3
39900,59.0,66.28
40000,78.0,66.31
40100,50.0,66.27
40200,81.0,66.3
40300,73.0,66.32
40400,82.0,66.36
40500,79.0,66.39
40600,70.0,66.4
40700,79.0,66.43
40800,74.0,66.45
40900,70.0,66.46
41000,72.0,66.47
41100,83.0,66.51
41200,75.0,66.53
41300,64.0,66.53
41400,70.0,66.53
41500,69.0,66.54
41600,73.0,66.56
41700,80.0,66.59
41800,72.0,66.6
41900,78.0,66.63
42000,73.0,66.64
42100,77.0,66.67
42200,77.0,66.69
42300,75.0,66.71
42400,80.0,66.74
42500,73.0,66.76
42600,79.0,66.79
42700,75.0,66.81
42800,76.0,66.83
42900,74.0,66.84
43000,78.0,66.87
43100,75.0,66.89
43200,70.0,66.9
43300,75.0,66.91
43400,73.0,66.93
43500,75.0,66.95
43600,70.0,66.95
43700,71.0,66.96
43800,71.0,66.97
43900,78.0,67.0
44000,55.0,66.97
44100,80.0,67.0
44200,59.0,66.98
44300,78.0,67.01
44400,78.0,67.03
44500,66.0,67.03
44600,78.0,67.05
44700,73.0,67.07
44800,74.0,67.08
44900,69.0,67.09
45000,73.0,67.1
45100,74.0,67.12
45200,76.0,67.13
45300,78.0,67.16
45400,74.0,67.17
45500,69.0,67.18
45600,66.0,67.18
45700,80.0,67.2
45800,65.0,67.2
45900,69.0,67.2
46000,81.0,67.23
46100,75.0,67.25
46200,72.0,67.26
46300,76.0,67.28
46400,73.0,67.29
46500,73.0,67.3
46600,75.0,67.32
46700,67.0,67.32
46800,77.0,67.34
46900,74.0,67.35
47000,77.0,67.37
47100,80.0,67.4
47200,82.0,67.43
47300,50.0,67.4
47400,78.0,67.42
47500,79.0,67.44
47600,76.0,67.46
47700,65.0,67.45
47800,76.0,67.47
47900,69.0,67.48
48000,68.0,67.48
48100,79.0,67.5
48200,78.0,67.52
48300,72.0,67.53
48400,78.0,67.55
48500,75.0,67.57
